Feature,Counts,ImportanceScore,Rank
event,30,0.164667,1.0
weight-liver-empty,30,0.080333,2.0
weight-gut-empty,30,0.042667,3.0
satiation_ration,30,0.036,4.0
weight-fillet-empty,30,0.034667,5.0
weight-viscera-measured_with_digesta_and_faeces,30,0.023667,6.0
weight-gonad-empty,30,0.020667,7.0
thickness-belly_flap-measured_from_cranial_to_the_pectoral_fin,30,0.016667,8.0
weight-whole_body-empty,30,0.014333,9.0
weight-viscera-measured_without_digesta_and_faeces,29,0.014138,10.0
thickness-belly_flap-measured_at_the_vent,30,0.011333,11.0
weight-heart-empty,26,0.010385,12.0
temperature_celsius,19,0.01,13.0
thickness-belly_flap-measured_from_caudal_to_the_pelvic_fin,24,0.01,13.0
sex-empty-empty,0,0.0,14.0
