Feature,Counts,ImportanceScore,Rank
weight-liver-empty,30,0.143212,1.0
weight-fillet-empty,30,0.092215,2.0
weight-gut-empty,29,0.072712,3.0
weight-viscera-measured_with_digesta_and_faeces,27,0.065973,4.0
thickness-belly_flap-measured_from_cranial_to_the_pectoral_fin,30,0.065735,5.0
thickness-belly_flap-measured_from_caudal_to_the_pelvic_fin,27,0.053946,6.0
weight-heart-empty,28,0.044535,7.0
weight-viscera-measured_without_digesta_and_faeces,26,0.043152,8.0
satiation_ration,28,0.041416,9.0
weight-gonad-empty,28,0.040594,10.0
weight-whole_body-empty,27,0.040519,11.0
sex-empty-empty,27,0.039616,12.0
thickness-belly_flap-measured_at_the_vent,28,0.03879,13.0
temperature_celsius,20,0.016186,14.0
