Feature,Counts,ImportanceScore,Rank
sex-empty-empty,21,0.164943,1.0
satiation_ration,20,0.134211,2.0
temperature_celsius,13,0.076197,3.0
weight-gi_tract-without_contents,13,0.071368,4.0
weight-fillet-empty,13,0.068417,5.0
weight-viscera-empty,12,0.066984,6.0
weight-gut-empty,12,0.06385,7.0
width-stomach-empty,11,0.053861,8.0
weight-heart-empty,11,0.048549,9.0
weight-gi_tract-with_contents,10,0.046656,10.0
thickness-belly_flap-measured_from_cranial_to_the_pectoral_fin,7,0.041944,11.0
thickness-belly_flap-measured_at_the_vent,7,0.039123,12.0
thickness-belly_flap-measured_from_caudal_to_the_pelvic_fin,9,0.032833,13.0
weight-gonad-empty,9,0.032818,14.0
weight-liver-empty,7,0.029726,15.0
