Feature,Counts,ImportanceScore,Rank
c18:0_stearic_acid-whole_body-FAME-g/100g,2,0.003939,79.0
c4:0_butyric_acid-whole_body-FAME-g/100g,4,0.003921,80.0
c18:2t_linolelaidic_acid-whole_body-FAME-percentage,3,0.003897,81.0
temperature_celsius,3,0.003361,82.0
fat-whole_body-wet_chemistry-g/100g,3,0.003333,83.0
c18:3n6_gamma_linolenic-whole_body-FAME-g/100g,3,0.003333,83.0
c16:1_palmitoleic_acid-whole_body-FAME-percentage,5,0.00329,84.0
c20:2_eicosadienoic_acid-whole_body-FAME-percentage,6,0.003279,85.0
c22:6n3_docosahexaenoic_acid-whole_body-FAME-g/100g,4,0.003109,86.0
c20:0_arachidic_acid-whole_body-FAME-percentage,4,0.003084,87.0
c18:1n9c_oleic_acid-whole_body-FAME-g/100g,2,0.003013,88.0
moisture-whole_body-NIR-g/100g,3,0.002852,89.0
c14:0_myristic_acid-whole_body-FAME-percentage,2,0.002851,90.0
c20:3n3_cis_11_14_17_eicosatrienoic_acid-whole_body-FAME-percentage,4,0.00284,91.0
c17:0_heptadecanoic_acid-whole_body-FAME-percentage,3,0.002833,92.0
c14:0_myristic_acid-whole_body-FAME-g/100g,4,0.002504,93.0
energy_calc-whole_body-NIR-KJ/100g,4,0.002183,94.0
omega_3-fillet-NIR-g/100g,2,0.002179,95.0
ash-whole_body-NIR-g/100g,1,0.002083,96.0
monounsaturated_fatty_acids-fillet-NIR-g/100g,4,0.002078,97.0
c22:0_behenic_acid-whole_body-FAME-g/100g,3,0.00205,98.0
c10:0_capric_acid-whole_body-FAME-percentage,3,0.002037,99.0
c18:2n6c_linoleic_acid-whole_body-FAME-g/100g,2,0.001994,100.0
c18:3n4_octadecatrienoic_acid-whole_body-FAME-percentage,2,0.001957,101.0
fat-fillet-NIR-g/100g,3,0.001864,102.0
kjeldahl-whole_body-NIR-mg/kg,2,0.001444,103.0
crude_protein-whole_body-NIR-g/100g,2,0.001439,104.0
c22:6n3_docosahexaenoic_acid-fillet-NIR-g/100g,2,0.001278,105.0
c18:1n7_vaccenic_acid-whole_body-FAME-g/100g,2,0.001253,106.0
c18:1t_elaidic_acid-whole_body-FAME-g/100g,2,0.001092,107.0
c18:3n3_alpha_linolenic_acid-whole_body-FAME-percentage,2,0.001032,108.0
fat-viscera-NIR-g/100g,2,0.000893,109.0
ash-fillet-NIR-g/100g,1,0.000833,110.0
fat-liver-wet_chemistry-g/100g,1,0.000606,111.0
