Feature,Counts,ImportanceScore,Rank
c15:0_pentadecanoic_acid-whole_body-FAME-percentage,27,0.009,1.0
histidine-whole_body-HPLC-DAD-g/100g,23,0.007667,2.0
c22:6n3_docosahexaenoic_acid-whole_body-FAME-percentage,22,0.007333,3.0
satiation_ration,21,0.007,4.0
temperature_celsius,19,0.006333,5.0
c14:1_myristoleic_acid-whole_body-FAME-percentage,19,0.006333,5.0
C20:5n3_eicosapentaenoic_acid-fillet-NIR-g/100g,18,0.006,6.0
c16:1_palmitoleic_acid-whole_body-FAME-percentage,18,0.006,6.0
c18:1t_elaidic_acid-whole_body-FAME-percentage,18,0.006,6.0
ash-fillet-NIR-g/100g,16,0.005333,7.0
c20:0_arachidic_acid-whole_body-FAME-percentage,15,0.005,8.0
c20:3n6_cis_8_11_14_eicosatrienoic_acid-whole_body-FAME-percentage,15,0.005,8.0
tryptophan-whole_body-HPLC-DAD-g/100g,14,0.004667,9.0
polyunsaturated_fatty_acids-fillet-NIR-g/100g,14,0.004667,9.0
c18:1n9c_oleic_acid-whole_body-FAME-percentage,13,0.004333,10.0
crude_protein-whole_body-wet_chemistry-g/100g,13,0.004333,10.0
c20:4n6_arachidonic_acid-whole_body-FAME-percentage,12,0.004,11.0
leucine-whole_body-HPLC-DAD-g/100g,11,0.003667,12.0
protein-fillet-NIR-g/100g,11,0.003667,12.0
C22:6n3_docosahexaenoic_acid-fillet-NIR-g/100g,11,0.003667,12.0
c14:1_myristoleic_acid-whole_body-FAME-g/100g,11,0.003667,12.0
c22:0_behenic_acid-whole_body-FAME-g/100g,11,0.003667,12.0
glycine-whole_body-HPLC-DAD-g/100g,10,0.003333,13.0
c17:0_heptadecanoic_acid-whole_body-FAME-percentage,10,0.003333,13.0
c18:3n3_alpha_linolenic_acid-whole_body-FAME-percentage,9,0.003,14.0
c18:3n6_gamma_linolenic-whole_body-FAME-percentage,9,0.003,14.0
energy_calc-whole_body-NIR-KJ/100g,8,0.002667,15.0
c18:3n4_octadecatrienoic_acid-whole_body-FAME-g/100g,8,0.002667,15.0
c16:0_palmitic_acid-whole_body-FAME-percentage,8,0.002667,15.0
methionine-whole_body-HPLC-DAD-g/100g,8,0.002667,15.0
c18:3n6_gamma_linolenic-whole_body-FAME-g/100g,7,0.002333,16.0
c20:1_gadoleic_acid-whole_body-FAME-percentage,7,0.002333,16.0
c24:1_nervonic_acid-whole_body-FAME-g/100g,7,0.002333,16.0
serine-whole_body-HPLC-DAD-g/100g,7,0.002333,16.0
proline-whole_body-HPLC-DAD-g/100g,7,0.002333,16.0
c22:0_behenic_acid-whole_body-FAME-percentage,6,0.002,17.0
valine-whole_body-HPLC-DAD-g/100g,6,0.002,17.0
glutamic_acid_and_glutamine-whole_body-HPLC-DAD-g/100g,6,0.002,17.0
c18:3n4_octadecatrienoic_acid-whole_body-FAME-percentage,6,0.002,17.0
monounsaturated_fatty_acids-fillet-NIR-g/100g,5,0.001667,18.0
fat-whole_body-NIR-g/100g,5,0.001667,18.0
c24:1_nervonic_acid-whole_body-FAME-percentage,5,0.001667,18.0
